,nome_infraestrutura,resumo_infraestrutura,data,tipo_de_infraestrutura,medida
150,ARADE,22.3,2008-11-01,bacia,metro_cubico
151,ARADE,21.9,2008-12-01,bacia,metro_cubico
152,ARADE,23.7,2009-01-01,bacia,metro_cubico
153,ARADE,37.3,2009-02-01,bacia,metro_cubico
154,ARADE,38.5,2009-03-01,bacia,metro_cubico
155,ARADE,37.7,2009-04-01,bacia,metro_cubico
156,ARADE,34.1,2009-05-01,bacia,metro_cubico
157,ARADE,29.7,2009-06-01,bacia,metro_cubico
158,ARADE,23.8,2009-07-01,bacia,metro_cubico
159,ARADE,17.5,2009-08-01,bacia,metro_cubico
160,ARADE,13.5,2009-09-01,bacia,metro_cubico
161,ARADE,27.5,2007-10-01,bacia,metro_cubico
162,ARADE,25.4,2007-11-01,bacia,metro_cubico
163,ARADE,29.6,2007-12-01,bacia,metro_cubico
164,ARADE,32.5,2008-01-01,bacia,metro_cubico
165,ARADE,36.0,2008-02-01,bacia,metro_cubico
166,ARADE,37.4,2008-03-01,bacia,metro_cubico
167,ARADE,45.1,2008-04-01,bacia,metro_cubico
168,ARADE,44.8,2008-05-01,bacia,metro_cubico
169,ARADE,40.5,2008-06-01,bacia,metro_cubico
170,ARADE,34.3,2008-07-01,bacia,metro_cubico
171,ARADE,28.0,2008-08-01,bacia,metro_cubico
172,ARADE,24.7,2008-09-01,bacia,metro_cubico
173,ARADE,32.0,2006-10-01,bacia,metro_cubico
174,ARADE,58.5,2006-11-01,bacia,metro_cubico
175,ARADE,60.1,2006-12-01,bacia,metro_cubico
176,ARADE,59.1,2007-01-01,bacia,metro_cubico
177,ARADE,59.3,2007-02-01,bacia,metro_cubico
178,ARADE,57.2,2007-03-01,bacia,metro_cubico
179,ARADE,57.0,2007-04-01,bacia,metro_cubico
180,ARADE,53.3,2007-05-01,bacia,metro_cubico
181,ARADE,48.6,2007-06-01,bacia,metro_cubico
182,ARADE,41.4,2007-07-01,bacia,metro_cubico
183,ARADE,34.3,2007-08-01,bacia,metro_cubico
184,ARADE,30.5,2007-09-01,bacia,metro_cubico
185,ARADE,4.3,2005-10-01,bacia,metro_cubico
186,ARADE,21.5,2005-11-01,bacia,metro_cubico
187,ARADE,25.5,2005-12-01,bacia,metro_cubico
188,ARADE,29.5,2006-01-01,bacia,metro_cubico
189,ARADE,35.1,2006-02-01,bacia,metro_cubico
190,ARADE,50.0,2006-03-01,bacia,metro_cubico
191,ARADE,50.4,2006-04-01,bacia,metro_cubico
192,ARADE,46.1,2006-05-01,bacia,metro_cubico
193,ARADE,41.2,2006-06-01,bacia,metro_cubico
194,ARADE,35.1,2006-07-01,bacia,metro_cubico
195,ARADE,28.9,2006-08-01,bacia,metro_cubico
196,ARADE,24.9,2006-09-01,bacia,metro_cubico
197,ARADE,10.1,2004-10-01,bacia,metro_cubico
198,ARADE,10.2,2004-11-01,bacia,metro_cubico
199,ARADE,11.0,2004-12-01,bacia,metro_cubico
200,ARADE,11.0,2005-01-01,bacia,metro_cubico
201,ARADE,10.8,2005-02-01,bacia,metro_cubico
202,ARADE,11.0,2005-03-01,bacia,metro_cubico
203,ARADE,10.8,2005-04-01,bacia,metro_cubico
204,ARADE,9.3,2005-05-01,bacia,metro_cubico
205,ARADE,8.1,2005-06-01,bacia,metro_cubico
206,ARADE,6.5,2005-07-01,bacia,metro_cubico
207,ARADE,4.6,2005-08-01,bacia,metro_cubico
208,ARADE,3.2,2005-09-01,bacia,metro_cubico
209,ARADE,25.6,2003-10-01,bacia,metro_cubico
210,ARADE,28.5,2003-11-01,bacia,metro_cubico
211,ARADE,35.1,2003-12-01,bacia,metro_cubico
212,ARADE,34.4,2004-01-01,bacia,metro_cubico
213,ARADE,35.4,2004-02-01,bacia,metro_cubico
214,ARADE,34.7,2004-03-01,bacia,metro_cubico
215,ARADE,32.5,2004-04-01,bacia,metro_cubico
216,ARADE,29.5,2004-05-01,bacia,metro_cubico
217,ARADE,24.4,2004-06-01,bacia,metro_cubico
218,ARADE,19.0,2004-07-01,bacia,metro_cubico
219,ARADE,14.1,2004-08-01,bacia,metro_cubico
220,ARADE,10.7,2004-09-01,bacia,metro_cubico
221,ARADE,15.9,2002-10-01,bacia,metro_cubico
222,ARADE,16.5,2002-11-01,bacia,metro_cubico
223,ARADE,29.4,2002-12-01,bacia,metro_cubico
224,ARADE,38.8,2003-01-01,bacia,metro_cubico
225,ARADE,46.8,2003-02-01,bacia,metro_cubico
226,ARADE,48.9,2003-03-01,bacia,metro_cubico
227,ARADE,54.1,2003-04-01,bacia,metro_cubico
228,ARADE,51.0,2003-05-01,bacia,metro_cubico
229,ARADE,45.1,2003-06-01,bacia,metro_cubico
230,ARADE,38.4,2003-07-01,bacia,metro_cubico
231,ARADE,31.4,2003-08-01,bacia,metro_cubico
232,ARADE,25.7,2003-09-01,bacia,metro_cubico
233,ARADE,31.6,2001-10-01,bacia,metro_cubico
234,ARADE,30.2,2001-11-01,bacia,metro_cubico
235,ARADE,31.9,2001-12-01,bacia,metro_cubico
236,ARADE,34.2,2002-01-01,bacia,metro_cubico
237,ARADE,32.7,2002-02-01,bacia,metro_cubico
238,ARADE,37.0,2002-03-01,bacia,metro_cubico
239,ARADE,41.7,2002-04-01,bacia,metro_cubico
240,ARADE,37.9,2002-05-01,bacia,metro_cubico
241,ARADE,32.4,2002-06-01,bacia,metro_cubico
242,ARADE,26.1,2002-07-01,bacia,metro_cubico
243,ARADE,19.9,2002-08-01,bacia,metro_cubico
244,ARADE,17.2,2002-09-01,bacia,metro_cubico
245,ARADE,28.1,2000-10-01,bacia,metro_cubico
246,ARADE,26.6,2000-11-01,bacia,metro_cubico
247,ARADE,56.8,2000-12-01,bacia,metro_cubico
248,ARADE,70.7,2001-01-01,bacia,metro_cubico
249,ARADE,65.7,2001-02-01,bacia,metro_cubico
250,ARADE,65.2,2001-03-01,bacia,metro_cubico
251,ARADE,62.4,2001-04-01,bacia,metro_cubico
252,ARADE,55.5,2001-05-01,bacia,metro_cubico
253,ARADE,51.3,2001-06-01,bacia,metro_cubico
254,ARADE,44.5,2001-07-01,bacia,metro_cubico
255,ARADE,37.4,2001-08-01,bacia,metro_cubico
256,ARADE,33.2,2001-09-01,bacia,metro_cubico
257,ARADE,19.5,1999-10-01,bacia,metro_cubico
258,ARADE,20.3,1999-11-01,bacia,metro_cubico
259,ARADE,25.4,1999-12-01,bacia,metro_cubico
260,ARADE,27.1,2000-01-01,bacia,metro_cubico
261,ARADE,27.1,2000-02-01,bacia,metro_cubico
262,ARADE,26.6,2000-03-01,bacia,metro_cubico
263,ARADE,39.6,2000-04-01,bacia,metro_cubico
264,ARADE,48.3,2000-05-01,bacia,metro_cubico
265,ARADE,45.2,2000-06-01,bacia,metro_cubico
266,ARADE,40.7,2000-07-01,bacia,metro_cubico
267,ARADE,35.5,2000-08-01,bacia,metro_cubico
268,ARADE,30.3,2000-09-01,bacia,metro_cubico
269,AVE,9.4,2020-10-01,bacia,metro_cubico
270,AVE,5.3,2020-11-01,bacia,metro_cubico
271,AVE,12.1,2020-12-01,bacia,metro_cubico
272,AVE,20.6,2021-01-01,bacia,metro_cubico
273,AVE,19.9,2021-02-01,bacia,metro_cubico
274,AVE,14.1,2021-03-01,bacia,metro_cubico
275,AVE,13.6,2021-04-01,bacia,metro_cubico
276,AVE,17.2,2021-05-01,bacia,metro_cubico
277,AVE,17.5,2021-06-01,bacia,metro_cubico
278,AVE,14.3,2021-07-01,bacia,metro_cubico
279,AVE,13.7,2021-08-01,bacia,metro_cubico
280,AVE,13.0,2021-09-01,bacia,metro_cubico
281,AVE,7.6,2021-10-01,bacia,metro_cubico
282,AVE,5.6,2021-11-01,bacia,metro_cubico
283,AVE,11.2,2021-12-01,bacia,metro_cubico
284,AVE,7.6,2022-01-01,bacia,metro_cubico
285,AVE,10.1,2022-02-01,bacia,metro_cubico
286,AVE,10.8,2019-10-01,bacia,metro_cubico
287,AVE,18.2,2019-11-01,bacia,metro_cubico
288,AVE,19.9,2019-12-01,bacia,metro_cubico
289,AVE,19.4,2020-01-01,bacia,metro_cubico
290,AVE,20.2,2020-02-01,bacia,metro_cubico
291,AVE,17.9,2020-03-01,bacia,metro_cubico
292,AVE,15.7,2020-04-01,bacia,metro_cubico
293,AVE,16.5,2020-05-01,bacia,metro_cubico
294,AVE,12.8,2020-06-01,bacia,metro_cubico
295,AVE,12.5,2020-07-01,bacia,metro_cubico
296,AVE,11.2,2020-08-01,bacia,metro_cubico
297,AVE,10.2,2020-09-01,bacia,metro_cubico
298,AVE,7.7,2018-10-01,bacia,metro_cubico
299,AVE,10.6,2018-11-01,bacia,metro_cubico
300,AVE,17.7,2018-12-01,bacia,metro_cubico
301,AVE,10.5,2019-01-01,bacia,metro_cubico
302,AVE,14.1,2019-02-01,bacia,metro_cubico
303,AVE,15.2,2019-03-01,bacia,metro_cubico
304,AVE,17.8,2019-04-01,bacia,metro_cubico
305,AVE,19.0,2019-05-01,bacia,metro_cubico
